ControlType,ControlName,Label,Event,OldHandler
Window,,,PreviewMouseWheel,MainWindow_PreviewMouseWheel
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
RadioButton,,,Click,Nav_Click
Button,NotificationBellButton,,Click,NotificationBell_Click
Button,,✓  MARK READ,Click,NotificationFlyoutMarkAllRead_Click
ListBox,NotificationFlyoutList,,SelectionChanged,NotificationFlyoutSelection_Changed
Button,,▤  ACTIVITY & AUDIT,Click,NotificationFlyoutActivity_Click
Button,,✕  CLEAR,Click,NotificationFlyoutClear_Click
TabControl,Tabs,,SelectionChanged,Tabs_SelectionChanged
Button,,↻  REFRESH,Click,DashboardRefresh_Click
Button,DashboardStartButton,▶  START,Click,Start_Click
Button,DashboardRestartButton,↻  RESTART,Click,Restart_Click
Button,DashboardStopButton,■  STOP,Click,Stop_Click
Button,,↗  OPEN,Click,DashboardOpenWorld_Click
Button,,▣  BACKUP,Click,Backup_Click
Button,,✚  DOCTOR,Click,DashboardOpenDoctor_Click
Button,,↗  OPEN,Click,DashboardOpenPlayers_Click
Button,,↗  OPEN,Click,DashboardOpenGuilds_Click
Button,,↗  OPEN,Click,DashboardOpenMods_Click
Button,,⌕  SCAN,Click,ScanServerProcesses_Click
Button,,✚  DOCTOR,Click,RunServerDoctor_Click
Button,,✕  CLEANUP,Click,ForceCleanup_Click
ComboBox,HistoricalRangeCombo,,SelectionChanged,HistoricalRangeCombo_SelectionChanged
Button,UpdateServerButton,UPDATE SERVER,Click,Update_Click
Button,,,Click,HistoricalRefresh_Click
Button,,,Click,HistoricalExport_Click
Button,,{Binding Action},Click,EnvironmentAction_Click
