Area,Historical control/workflow,Old handler(s),Current GUI binding,Current owner,Current API,Classification,Implementation note
Dashboard,START,Start_Click,StartCommand,IMystTiqApiClient.StartServerAsync,POST /api/v1/server/start,REWIRE,Preserve lifecycle state refresh and authoritative status; do not launch PalServer directly from GUI.
Dashboard,RESTART,Restart_Click,RestartCommand,IMystTiqApiClient.RestartServerAsync,POST /api/v1/server/restart,REWIRE,Already migrated.
Dashboard,STOP,Stop_Click,StopCommand,IMystTiqApiClient.StopServerAsync,POST /api/v1/server/stop,REWIRE,Already migrated.
Dashboard,BACKUP,Backup_Click,CreateBackupCommand,IMystTiqApiClient.CreateBackupAsync,POST /api/v1/backups/create,REWIRE,Already migrated.
Dashboard,DOCTOR,DashboardOpenDoctor_Click,NavigateCommand(Doctor),RunDoctorAsync on page entry,GET /api/v1/doctor,REWIRE,Navigation + page-entry execution already exists.
Server Setup / Update,Update / Verify / Install,Update_Click; VerifyEnvironment_Click; InstallRequired_Click,RefreshDistributionCommand / PreviewDistributionPlanCommand / UpdatePalworldServerCommand,Server distribution API,GET /api/v1/server/distribution + plan; POST update,ADAPT,Current model consolidates several old environment actions. Recreate old cards/actions visually but route to distribution service.
Configuration,Load Active,LoadActive_Click,LoadPalworldConfigurationCommand,GetPalworldConfigurationAsync,GET /api/v1/palworld/config,REWIRE,Current service is authoritative.
Configuration,Save Changes,SaveConfig_Click,SavePalworldConfigurationCommand,SavePalworldConfigurationAsync,PUT /api/v1/palworld/config,REWIRE,Restore old simple/advanced visual organization without reverting persistence code.
Configuration,Search/category/QoL presets/import/export,ConfigFilter_Changed and related,No equivalent command/binding found,No current endpoint,—,REIMPLEMENT/ADAPT,High-value GUI parity gap. Implement locally around current setting DTOs where safe; add endpoint only if server-side capability is genuinely required.
Console,Refresh/log tail,RefreshConsole_Click,RefreshMonitoringCommand,GetStatusPollingAsync/GetLogTailAsync,GET /api/v1/status/poll; /logs/tail,REWIRE,Core log viewing exists.
Console,Severity/category/search/pause/clear/export/open logs,ConsoleFilter_Changed etc.,No full equivalent,Client-side filtering + optional local shell helper,—,REIMPLEMENT,These can mostly be client-side features; remote 'open folder' must be treated differently.
Console,RCON doctor/connect/disconnect/send,RconDoctor_Click etc.,No equivalent found,No current API contract,—,REIMPLEMENT,Do not fake. Add a headless RCON service/API if this workflow is to return.
