"InventoryId","ControlType","ControlName","Label","Event","OldHandler","Classification","CurrentMapping","Evidence"
"1","Window","","","PreviewMouseWheel","MainWindow_PreviewMouseWheel","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"2","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"3","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"4","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"5","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"6","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"7","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"8","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"9","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"10","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"11","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"12","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"13","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"14","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"15","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"16","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"17","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
